mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
404,22,55719,63771403,18.5404127,73.7301179,-80,1774196147218,6.5,1.131978,16.415836,LTE,3,,55719,162,,,
404,22,55719,14135819,18.5404172,73.7301657,-44,1774196151977,6.5,1.0875393,56.648632,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5403997,73.7302258,-84,1774196157177,5.5,0.9960038,76.16705,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5403854,73.7302799,-82,1774196161879,6.5,1.0687184,100.86607,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5402754,73.730313,-85,1774196167043,8.5,1.095652,156.37553,LTE,3,,55719,90,,,
404,22,55719,14135819,18.540195,73.7303113,-85,1774196171976,7.6,1.0780387,198.52904,LTE,3,,55719,90,,,
404,22,55719,14135819,18.540156,73.7303354,-85,1774196176862,6.8,0.95860606,149.40979,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5401068,73.7303687,-85,1774196181858,7.1,1.0077219,169.36098,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5400571,73.7303725,-85,1774196186460,5.8,0.98136383,195.49359,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5400202,73.7303877,-81,1774196192181,6.1,0.92445964,170.4105,LTE,3,,55719,90,,,
404,22,55719,14135819,18.539979,73.7303929,-81,1774196197187,6.5,0.989672,153.22656,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5399337,73.7303963,-82,1774196201944,6.3,1.052927,178.81068,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5398956,73.7303862,-82,1774196206587,6.3,0.8204215,215.51631,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5398615,73.7303538,-84,1774196211423,6.4,1.0184951,209.36554,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5398164,73.7303068,-98,1774196217465,6.3,1.060626,224.85432,LTE,3,,55719,90,,,
404,22,55719,14135820,18.5397622,73.7302821,-80,1774196222303,5.9,1.0841452,209.10751,LTE,4,,55719,94,,,
404,22,55719,14135820,18.5396984,73.7302693,-80,1774196226988,6.0,1.1387135,198.14682,LTE,4,,55719,94,,,
404,22,55719,14135820,18.5396352,73.7302507,-80,1774196232057,6.4,1.0994575,195.3793,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5395916,73.730221,-80,1774196236907,6.1,1.092475,200.33003,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5395544,73.7301782,-79,1774196241615,5.7,1.0738251,196.91116,LTE,3,,55719,94,,,
404,22,55719,14135820,18.539536,73.7301399,-79,1774196246558,5.0,0.60626656,265.37076,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5395631,73.7301407,-80,1774196251585,4.9,0.41113338,81.46585,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5395846,73.7301383,-80,1774196256241,4.6,0.61018413,276.108,LTE,3,,55719,94,,,
404,22,55719,14135820,18.53958,73.7300925,-79,1774196261567,4.7,0.960942,230.6383,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5395814,73.7300698,-79,1774196266587,6.5,1.0353048,303.21478,LTE,2,,55719,94,,,
404,22,55719,14135820,18.5395903,73.730057,-83,1774196271553,6.0,0.7726134,348.8372,LTE,3,,55719,94,,,
404,22,55719,14135820,18.5396157,73.730024,-83,1774196276306,6.4,0.9835404,256.04477,LTE,3,,55719,94,,,
